chembl_id,pref_name,max_phase,smiles,inchi_key_x,ID,SMILES,drug_status,chembl_smiles,inchi_key_y
CHEMBL2096895,PRADEFOVIR,3,Nc1ncnc2c1ncn2CCOC[P@@]1(=O)OCC[C@@H](c2cccc(Cl)c2)O1,GWNHAOBXDGOXRR-HJFSHJIFSA-N,DB15550,Clc1cccc(c1)[C@@H]1CCO[P@@](=O)(O1)COCCn1cnc2c1ncnc2N,Phase 3,Nc1ncnc2c1ncn2CCOC[P@@]1(=O)OCC[C@@H](c2cccc(Cl)c2)O1,GWNHAOBXDGOXRR-HJFSHJIFSA-N
CHEMBL2097002,SELENIC ACID,3,O=[Se](=O)(O)O,QYHFIVBSNOWOCQ-UHFFFAOYSA-N,DB11068,O[Se](=O)(=O)O,Phase 3,O=[Se](=O)(O)O,QYHFIVBSNOWOCQ-UHFFFAOYSA-N
CHEMBL209821,NALUZOTAN,3,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1,SPWZXWDPAWDKQE-UHFFFAOYSA-N,DB05562,CC(=O)Nc1cccc(c1)N1CC[NH+](CC1)CCCCNS(=O)(=O)CC1CCCCC1,Phase 3,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1,SPWZXWDPAWDKQE-UHFFFAOYSA-N
CHEMBL21,SULFANILAMIDE,4,Nc1ccc(S(N)(=O)=O)cc1,FDDDEECHVMSUSB-UHFFFAOYSA-N,DB00259,Nc1ccc(cc1)S(=O)(=O)N,APPROVED - Phase 4,Nc1ccc(S(N)(=O)=O)cc1,FDDDEECHVMSUSB-UHFFFAOYSA-N
CHEMBL2103751,PREDNIMUSTINE,2,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,HFVNWDWLWUCIHC-GUPDPFMOSA-N,DB12832,ClCCN(c1ccc(cc1)CCCC(=O)OCC(=O)C1(O)CC[C@@H]2C1(C)C[C@H](O)C1[C@H]2CCC2=CC(=O)C=CC12C)CCCl,Phase 2,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,HFVNWDWLWUCIHC-GUPDPFMOSA-N
CHEMBL2103761,BARNIDIPINE,2,COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCN(Cc3ccccc3)C2)[C@H]1c1cccc([N+](=O)[O-])c1,VXMOONUMYLCFJD-DHLKQENFSA-N,DB09227,COC(=O)C1=C(C)NC(=C([C@H]1c1cccc(c1)[N+](=O)[O-])C(=O)O[C@H]1CC[NH+](C1)Cc1ccccc1)C,Phase 2,COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCN(Cc3ccccc3)C2)[C@H]1c1cccc([N+](=O)[O-])c1,VXMOONUMYLCFJD-DHLKQENFSA-N
CHEMBL2103764,CEFETAMET,2,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)c1csc(N)n1,MQLRYUCJDNBWMV-GHXIOONMSA-N,DB13504,[O-]C(=O)C1=C(C)CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/c1csc(n1)N,Phase 2,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)c1csc(N)n1,MQLRYUCJDNBWMV-GHXIOONMSA-N
CHEMBL2103768,DILOXANIDE,2,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,GZZZSOOGQLOEOB-UHFFFAOYSA-N,DB08792,ClC(C(=O)N(c1ccc(cc1)O)C)Cl,Phase 2,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,GZZZSOOGQLOEOB-UHFFFAOYSA-N
CHEMBL2103772,RACECADOTRIL,3,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,ODUOJXZPIYUATO-UHFFFAOYSA-N,DB08626,SC[C@H](C(=O)NCC(=O)[O-])Cc1ccccc1,Phase 3,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,ODUOJXZPIYUATO-UHFFFAOYSA-N
CHEMBL2103772,RACECADOTRIL,3,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,ODUOJXZPIYUATO-UHFFFAOYSA-N,DB11696,O=C(CNC(=O)C(Cc1ccccc1)CSC(=O)C)OCc1ccccc1,Phase 3,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,ODUOJXZPIYUATO-UHFFFAOYSA-N
CHEMBL2103774,TIBOLONE,3,C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,WZDGZWOAQTVYBX-XOINTXKNSA-N,DB09070,C#CC1(O)CC[C@@H]2C1(C)CC[C@H]1C2[C@H](C)CC2=C1CCC(=O)C2,Phase 3,C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,WZDGZWOAQTVYBX-XOINTXKNSA-N
CHEMBL2103778,CILANSETRON,2,Cc1nccn1C[C@H]1CCc2c(c3cccc4c3n2CCC4)C1=O,NCNFDKWULDWJDS-OAHLLOKOSA-N,DB04885,O=C1[C@H](CCc2c1c1cccc3c1n2CCC3)Cn1ccnc1C,Phase 2,Cc1nccn1C[C@H]1CCc2c(c3cccc4c3n2CCC4)C1=O,NCNFDKWULDWJDS-OAHLLOKOSA-N
CHEMBL2103791,ADIPIPLON,2,CCCc1c(Cn2ccnc2-c2ncccc2F)ncn2nc(C)nc12,UAMAIHOEGLEXSV-UHFFFAOYSA-N,DB06579,CCCc1c(ncn2c1nc(n2)C)Cn1ccnc1c1ncccc1F,Phase 2,CCCc1c(Cn2ccnc2-c2ncccc2F)ncn2nc(C)nc12,UAMAIHOEGLEXSV-UHFFFAOYSA-N
CHEMBL2103799,COBIPROSTONE,2,CC[C@H](C)CC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,SDDSJMXGJNWMJY-BRHAQHMBSA-N,DB05514,CC[C@@H](CC([C@@]1(O)CC[C@H]2[C@H](O1)CC(=O)[C@@H]2CCCCCCC(=O)[O-])(F)F)C,Phase 2,CC[C@H](C)CC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,SDDSJMXGJNWMJY-BRHAQHMBSA-N
