Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-001-556-016_model_0_ligand,-5.32,-0.82,0.4397,5.031
P4H6__Molport-001-595-252_model_0_ligand,-6.17,0.55,0.4698,4.494
P4H6__Molport-001-646-451_model_0_ligand,-5.15,-0.44,0.5403,4.220
P4H6__Molport-001-573-726_model_0_ligand,-5.64,-0.38,0.3101,4.400
P4H6__Molport-001-829-447_model_0_ligand,-5.15,-0.30,0.3491,3.956
P4H6__Molport-001-795-858_model_0_ligand,-5.21,-0.35,0.3313,3.811
P4H6__Molport-001-749-873_model_0_ligand,-5.73,1.39,0.2354,4.400
P4H6__Molport-001-831-555_model_0_ligand,-4.80,-0.52,0.4756,3.909
P4H6__Molport-001-917-465_model_0_ligand,-4.10,-0.13,0.3791,3.737
P4H6__Molport-001-889-888_model_0_ligand,-5.21,0.00,0.4819,4.695
P4H6__Molport-001-739-419_model_0_ligand,-5.65,-0.42,0.2956,4.376
P4H6__Molport-001-808-621_model_0_ligand,-5.39,-0.65,0.5933,4.931
P4H6__Molport-002-004-800_model_0_ligand,-4.57,-0.30,0.5153,3.897
P4H6__Molport-001-839-746_model_0_ligand,-5.52,-1.10,0.4120,3.161
P4H6__Molport-001-962-125_model_0_ligand,-5.29,-0.43,0.5257,4.280
P4H6__Molport-001-834-556_model_0_ligand,-5.20,-0.96,0.4109,2.952
P4H6__Molport-001-914-433_model_0_ligand,-5.59,-0.39,0.4129,5.170
P4H6__Molport-002-024-083_model_0_ligand,-5.48,1.04,0.4656,5.014
P4H6__Molport-001-919-368_model_0_ligand,-5.78,-0.59,0.5820,4.094
P4H6__Molport-002-117-106_model_0_ligand,-5.61,-0.07,0.5049,3.633
P4H6__Molport-001-848-639_model_0_ligand,-5.66,0.24,0.5165,4.014
P4H6__Molport-002-091-120_model_0_ligand,-5.66,-0.50,0.3338,4.874
P4H6__Molport-002-144-730_model_0_ligand,-4.66,-0.28,0.5411,3.471
P4H6__Molport-002-139-665_model_0_ligand,-5.61,-0.45,0.4847,4.267
P4H6__Molport-002-112-180_model_0_ligand,-5.60,-0.33,0.5752,4.298
P4H6__Molport-001-993-081_model_0_ligand,-6.16,-0.52,0.4066,5.098
P4H6__Molport-002-133-580_model_0_ligand,-5.30,-0.15,0.5174,5.309
P4H6__Molport-002-139-673_model_0_ligand,-5.63,-0.40,0.3402,3.778
P4H6__Molport-002-139-668_model_0_ligand,-5.51,-0.72,0.3154,5.139
P4H6__Molport-002-139-733_model_0_ligand,-4.85,-0.21,0.5376,4.320
P4H6__Molport-002-203-160_model_0_ligand,-5.17,-0.34,0.4415,5.477
P4H6__Molport-002-162-649_model_0_ligand,-5.62,-0.45,0.4572,5.289
P4H6__Molport-002-174-606_model_0_ligand,-4.82,-0.69,0.4229,4.334
P4H6__Molport-002-321-835_model_0_ligand,-5.34,-0.80,0.3778,3.007
P4H6__Molport-002-186-124_model_0_ligand,-5.78,-0.30,0.5184,5.580
P4H6__Molport-002-338-400_model_0_ligand,-4.95,-0.31,0.4869,5.324
P4H6__Molport-002-329-882_model_0_ligand,-6.18,-0.10,0.4745,4.358
P4H6__Molport-002-507-865_model_0_ligand,-5.71,0.64,0.7177,4.890
P4H6__Molport-002-357-027_model_0_ligand,-5.03,0.60,0.4120,4.006
P4H6__Molport-002-514-183_model_0_ligand,-4.91,-0.32,0.3224,3.640
P4H6__Molport-002-467-061_model_0_ligand,-5.77,-0.23,0.4779,4.100
P4H6__Molport-002-247-334_model_0_ligand,-5.18,-0.66,0.3266,4.435
P4H6__Molport-002-515-725_model_0_ligand,-5.44,-0.84,0.5079,3.952
P4H6__Molport-002-511-234_model_0_ligand,-5.33,-0.79,0.4510,3.321
P4H6__Molport-002-509-014_model_0_ligand,-5.07,-0.93,0.5081,3.256
P4H6__Molport-002-511-345_model_0_ligand,-6.48,0.12,0.5807,4.708
P4H6__Molport-002-516-971_model_0_ligand,-4.94,-0.43,0.2754,4.496
P4H6__Molport-002-248-771_model_0_ligand,-5.56,3.19,0.2148,3.865
P4H6__Molport-002-520-045_model_0_ligand,-6.43,-0.28,0.4189,4.979
P4H6__Molport-002-519-585_model_0_ligand,-6.35,-0.36,0.4618,5.527
P4H6__Molport-002-520-344_model_0_ligand,-6.05,-0.25,0.6029,5.150
P4H6__Molport-002-520-471_model_0_ligand,-6.51,-0.63,0.4678,5.774
P4H6__Molport-002-520-519_model_0_ligand,-5.72,1.41,0.4718,5.073
P4H6__Molport-002-520-625_model_0_ligand,-6.37,-0.74,0.5909,5.451
P4H6__Molport-002-534-554_model_0_ligand,-5.22,-0.65,0.4666,3.681
P4H6__Molport-002-522-284_model_0_ligand,-6.65,-0.63,0.4768,6.010
P4H6__Molport-002-522-779_model_0_ligand,-6.30,-0.05,0.3505,4.702
P4H6__Molport-002-522-488_model_0_ligand,-6.21,-0.57,0.5301,5.380
P4H6__Molport-002-520-769_model_0_ligand,-6.34,-0.72,0.4458,5.072
P4H6__Molport-002-527-181_model_0_ligand,-6.49,-0.65,0.5671,6.012
P4H6__Molport-002-537-600_model_0_ligand,-5.19,-0.40,0.4750,3.861
P4H6__Molport-002-532-994_model_0_ligand,-6.33,-0.43,0.3677,4.517
P4H6__Molport-002-527-254_model_0_ligand,-6.05,-0.31,0.3747,5.111
P4H6__Molport-002-520-491_model_0_ligand,-5.65,-0.88,0.4060,5.264
P4H6__Molport-002-524-058_model_0_ligand,-5.92,-1.15,0.3710,5.202
P4H6__Molport-002-534-832_model_0_ligand,-5.46,-0.37,0.4352,5.370
P4H6__Molport-002-559-154_model_0_ligand,-5.30,-0.40,0.3347,4.271
P4H6__Molport-002-558-058_model_0_ligand,-6.01,-0.48,0.4274,4.275
P4H6__Molport-002-563-069_model_0_ligand,-4.62,-0.63,0.2681,3.971
P4H6__Molport-002-535-029_model_0_ligand,-6.49,-0.50,0.3732,5.625
P4H6__Molport-002-572-666_model_0_ligand,-5.01,-0.24,0.4441,4.127
P4H6__Molport-002-573-272_model_0_ligand,-5.29,-0.29,0.3153,4.091
P4H6__Molport-002-604-242_model_0_ligand,-5.83,0.65,0.3926,4.876
P4H6__Molport-002-575-772_model_0_ligand,-5.56,-0.42,0.3507,3.820
P4H6__Molport-002-605-165_model_0_ligand,-6.05,1.39,0.4320,5.267
P4H6__Molport-002-599-240_model_0_ligand,-5.91,0.53,0.2409,4.705
P4H6__Molport-002-573-239_model_0_ligand,-5.46,-0.73,0.3323,4.275
P4H6__Molport-002-598-313_model_0_ligand,-5.92,-0.43,0.3806,5.124
P4H6__Molport-002-620-301_model_0_ligand,-6.08,-0.35,0.4999,4.179
P4H6__Molport-002-560-979_model_0_ligand,-5.54,-1.19,0.4520,5.307
P4H6__Molport-002-606-741_model_0_ligand,-5.89,1.22,0.4410,5.420
P4H6__Molport-002-597-951_model_0_ligand,-5.43,-1.50,0.2631,4.965
P4H6__Molport-002-606-875_model_0_ligand,-5.46,0.67,0.2647,4.581
P4H6__Molport-002-650-602_model_0_ligand,-5.53,-0.59,0.2574,4.980
P4H6__Molport-002-618-535_model_0_ligand,-4.97,0.25,0.5357,4.791
P4H6__Molport-002-653-495_model_0_ligand,-5.51,-0.29,0.3968,3.997
