Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-027-820-436_model_0_ligand,-5.48,-1.03,0.5391,4.868
P4H6__Molport-027-718-100_model_0_ligand,-6.02,0.28,0.2426,4.438
P4H6__Molport-027-866-722_model_0_ligand,-5.82,-0.32,0.3197,4.103
P4H6__Molport-027-855-476_model_0_ligand,-5.33,-0.68,0.3699,4.640
P4H6__Molport-027-869-748_model_0_ligand,-5.10,-0.53,0.2783,4.395
P4H6__Molport-027-871-996_model_0_ligand,-5.55,0.56,0.3764,5.226
P4H6__Molport-027-871-804_model_0_ligand,-5.85,-0.54,0.3451,5.215
P4H6__Molport-027-870-190_model_0_ligand,-5.15,-0.60,0.3260,4.734
P4H6__Molport-027-881-843_model_0_ligand,-5.11,-0.60,0.1617,4.408
P4H6__Molport-028-575-003_model_0_ligand,-5.17,-0.38,0.3171,4.281
P4H6__Molport-028-578-840_model_0_ligand,-5.50,0.04,0.2860,4.502
P4H6__Molport-027-877-044_model_0_ligand,-5.31,-0.70,0.2497,4.263
P4H6__Molport-027-888-928_model_0_ligand,-4.71,-0.39,0.6807,4.610
P4H6__Molport-028-580-579_model_0_ligand,-4.94,-0.41,0.3410,4.023
P4H6__Molport-028-598-482_model_0_ligand,-5.17,-0.50,0.4038,3.997
P4H6__Molport-027-883-426_model_0_ligand,-5.97,-0.40,0.1866,3.835
P4H6__Molport-027-888-427_model_0_ligand,-4.83,-0.10,0.2814,3.588
P4H6__Molport-028-588-135_model_0_ligand,-5.48,0.29,0.2250,4.599
P4H6__Molport-028-596-222_model_0_ligand,-5.12,-0.77,0.2025,3.570
P4H6__Molport-028-596-723_model_0_ligand,-4.87,-0.48,0.4423,4.549
P4H6__Molport-028-734-906_model_0_ligand,-5.29,-0.27,0.2633,4.663
P4H6__Molport-028-724-001_model_0_ligand,-5.04,-0.36,0.3284,3.884
P4H6__Molport-028-607-607_model_0_ligand,-5.40,-0.21,0.3053,4.972
P4H6__Molport-028-597-207_model_0_ligand,-5.63,-0.74,0.3001,4.464
P4H6__Molport-028-604-807_model_0_ligand,-6.01,0.77,0.2289,4.834
P4H6__Molport-028-604-524_model_0_ligand,-5.90,-0.82,0.1303,3.923
P4H6__Molport-028-606-048_model_0_ligand,-6.02,-0.36,0.3231,3.961
P4H6__Molport-028-724-169_model_0_ligand,-4.76,-0.50,0.2587,4.359
P4H6__Molport-028-589-431_model_0_ligand,-5.80,-0.59,0.2469,3.889
P4H6__Molport-028-738-049_model_0_ligand,-5.66,-0.33,0.2050,4.729
P4H6__Molport-028-851-664_model_0_ligand,-5.63,0.25,0.4017,4.185
P4H6__Molport-028-853-104_model_0_ligand,-5.92,0.55,0.2662,4.466
P4H6__Molport-028-737-535_model_0_ligand,-6.02,-0.75,0.2666,4.326
P4H6__Molport-028-855-055_model_0_ligand,-4.68,-0.57,0.5635,4.116
P4H6__Molport-028-854-892_model_0_ligand,-6.01,1.05,0.5375,5.001
P4H6__Molport-028-853-258_model_0_ligand,-5.87,-0.60,0.3582,4.247
P4H6__Molport-028-856-364_model_0_ligand,-6.09,0.62,0.4278,4.453
P4H6__Molport-028-855-905_model_0_ligand,-6.23,1.23,0.3897,4.414
P4H6__Molport-028-855-375_model_0_ligand,-6.46,-0.80,0.3451,5.219
P4H6__Molport-028-854-811_model_0_ligand,-5.28,-0.15,0.5803,5.180
P4H6__Molport-028-855-173_model_0_ligand,-6.08,1.58,0.2801,4.829
P4H6__Molport-028-855-766_model_0_ligand,-5.67,0.01,0.5765,4.782
P4H6__Molport-028-855-796_model_0_ligand,-5.47,-0.29,0.5742,4.948
P4H6__Molport-028-855-459_model_0_ligand,-5.63,0.31,0.3567,4.068
P4H6__Molport-028-856-522_model_0_ligand,-6.00,1.92,0.3834,4.387
P4H6__Molport-028-855-382_model_0_ligand,-5.54,1.06,0.6465,5.070
P4H6__Molport-028-856-188_model_0_ligand,-5.35,-0.56,0.3590,4.997
P4H6__Molport-028-855-529_model_0_ligand,-5.40,0.15,0.4398,5.152
P4H6__Molport-028-856-087_model_0_ligand,-6.33,0.25,0.3621,4.674
P4H6__Molport-028-856-094_model_0_ligand,-5.69,-0.06,0.3324,4.967
P4H6__Molport-028-855-587_model_0_ligand,-6.09,-0.58,0.3169,5.466
P4H6__Molport-028-863-107_model_0_ligand,-6.30,-0.75,0.3692,4.773
P4H6__Molport-028-863-106_model_0_ligand,-6.30,-0.81,0.4793,5.204
P4H6__Molport-029-883-548_model_0_ligand,-5.24,-0.49,0.5489,4.700
P4H6__Molport-029-883-776_model_0_ligand,-5.67,1.62,0.3724,4.393
P4H6__Molport-029-884-504_model_0_ligand,-6.13,-0.38,0.4599,5.144
P4H6__Molport-029-901-654_model_0_ligand,-4.22,-0.38,0.7373,3.336
P4H6__Molport-030-058-067_model_0_ligand,-5.09,-0.57,0.5918,4.009
P4H6__Molport-030-041-973_model_0_ligand,-5.28,-0.48,0.1923,3.433
P4H6__Molport-030-048-432_model_0_ligand,-5.76,-0.60,0.1907,3.960
P4H6__Molport-030-069-355_model_0_ligand,-5.38,0.11,0.5268,5.052
P4H6__Molport-035-706-480_model_0_ligand,-5.95,0.14,0.6496,4.171
P4H6__Molport-030-075-862_model_0_ligand,-6.15,-0.08,0.4318,4.195
P4H6__Molport-035-706-532_model_0_ligand,-5.79,0.00,0.5279,3.536
P4H6__Molport-030-064-919_model_0_ligand,-5.22,0.78,0.4064,4.558
P4H6__Molport-035-706-506_model_0_ligand,-6.06,-0.05,0.4716,3.830
P4H6__Molport-035-381-251_model_0_ligand,-5.47,0.31,0.2521,4.018
P4H6__Molport-030-075-932_model_0_ligand,-6.24,-0.37,0.4505,4.457
P4H6__Molport-029-885-564_model_0_ligand,-5.09,-0.43,0.4883,5.105
P4H6__Molport-035-784-583_model_0_ligand,-4.08,-0.19,0.3929,3.988
P4H6__Molport-030-068-723_model_0_ligand,-6.12,-0.73,0.4136,4.520
P4H6__Molport-035-705-765_model_0_ligand,-5.23,-0.67,0.3608,4.027
P4H6__Molport-035-704-098_model_0_ligand,-5.71,-0.39,0.2742,4.756
P4H6__Molport-035-701-052_model_0_ligand,-5.54,-0.45,0.3481,4.847
P4H6__Molport-035-821-277_model_0_ligand,-5.31,-0.45,0.3487,3.691
P4H6__Molport-035-858-545_model_0_ligand,-5.18,-0.37,0.3802,4.148
P4H6__Molport-035-821-725_model_0_ligand,-5.29,-0.47,0.5513,4.069
P4H6__Molport-035-941-544_model_0_ligand,-5.30,-0.09,0.7368,4.178
P4H6__Molport-038-393-610_model_0_ligand,-5.36,-0.37,0.4123,4.800
P4H6__Molport-035-873-724_model_0_ligand,-6.45,-0.58,0.4297,4.872
P4H6__Molport-038-421-314_model_0_ligand,-5.67,-0.48,0.4711,4.684
P4H6__Molport-038-396-912_model_0_ligand,-5.30,0.07,0.5730,4.960
P4H6__Molport-035-879-400_model_0_ligand,-5.75,-0.33,0.4731,4.066
P4H6__Molport-035-881-848_model_0_ligand,-5.54,-0.72,0.6619,5.019
P4H6__Molport-038-425-751_model_0_ligand,-5.20,-0.41,0.3021,4.745
P4H6__Molport-038-416-973_model_0_ligand,-5.67,-0.75,0.3991,4.496
P4H6__Molport-038-942-141_model_0_ligand,-4.95,-0.17,0.5971,3.824
P4H6__Molport-039-063-540_model_0_ligand,-4.44,-0.46,0.5100,3.129
P4H6__Molport-039-027-166_model_0_ligand,-5.36,-0.29,0.5163,4.313
P4H6__Molport-039-043-536_model_0_ligand,-5.02,-0.26,0.4513,3.954
P4H6__Molport-039-052-281_model_0_ligand,-5.79,1.38,0.5855,4.160
P4H6__Molport-039-040-315_model_0_ligand,-5.61,-0.44,0.3231,3.838
P4H6__Molport-038-393-987_model_0_ligand,-5.38,-0.71,0.2463,4.391
P4H6__Molport-039-054-032_model_0_ligand,-4.73,-0.53,0.5554,4.052
P4H6__Molport-038-422-514_model_0_ligand,-5.60,0.37,0.5640,5.876
P4H6__Molport-039-063-552_model_0_ligand,-4.54,-0.56,0.4946,3.184
P4H6__Molport-039-049-068_model_0_ligand,-5.53,-0.89,0.5011,4.073
P4H6__Molport-039-074-631_model_0_ligand,-5.90,-0.55,0.3598,4.009
P4H6__Molport-044-562-218_model_0_ligand,-5.07,0.00,0.4808,3.745
P4H6__Molport-039-142-001_model_0_ligand,-5.31,0.37,0.6655,3.414
P4H6__Molport-044-723-216_model_0_ligand,-5.50,0.00,0.5296,3.453
P4H6__Molport-039-337-902_model_0_ligand,-5.30,-1.05,0.2977,4.540
P4H6__Molport-039-116-911_model_0_ligand,-6.02,0.11,0.2263,3.648
P4H6__Molport-039-216-584_model_0_ligand,-5.46,0.16,0.3764,4.271
P4H6__Molport-039-106-605_model_0_ligand,-5.41,0.73,0.6494,4.566
P4H6__Molport-044-725-914_model_0_ligand,-5.98,-0.32,0.6598,5.448
P4H6__Molport-044-706-379_model_0_ligand,-5.80,-0.59,0.4268,4.255
P4H6__Molport-045-919-233_model_0_ligand,-5.51,0.06,0.2541,5.198
P4H6__Molport-039-194-160_model_0_ligand,-5.26,0.40,0.3359,4.634
P4H6__Molport-044-683-986_model_0_ligand,-4.84,-0.45,0.3915,3.956
P4H6__Molport-039-106-661_model_0_ligand,-5.53,-0.44,0.2603,3.629
P4H6__Molport-042-618-896_model_0_ligand,-5.92,0.52,0.2336,4.333
P4H6__Molport-042-668-093_model_0_ligand,-5.66,-0.44,0.4360,4.440
P4H6__Molport-046-832-270_model_0_ligand,-5.21,-0.23,0.4371,3.793
P4H6__Molport-044-680-741_model_0_ligand,-5.61,-0.55,0.2252,3.741
P4H6__Molport-042-665-674_model_0_ligand,-4.52,-0.83,0.2533,3.372
P4H6__Molport-046-790-411_model_0_ligand,-5.76,-0.32,0.5220,4.125
P4H6__Molport-044-754-013_model_0_ligand,-5.07,-0.37,0.2901,4.259
P4H6__Molport-045-933-006_model_0_ligand,-6.08,-0.59,0.1311,4.520
P4H6__Molport-046-508-982_model_0_ligand,-5.14,-0.23,0.3606,3.430
P4H6__Molport-046-845-426_model_0_ligand,-5.05,-0.62,0.3748,3.797
P4H6__Molport-046-178-522_model_0_ligand,-5.80,-0.20,0.3816,4.647
P4H6__Molport-046-607-570_model_0_ligand,-5.95,-0.47,0.2921,4.382
P4H6__Molport-047-152-586_model_0_ligand,-5.84,0.60,0.5492,3.462
P4H6__Molport-046-980-684_model_0_ligand,-5.09,-0.16,0.2007,3.973
P4H6__Molport-047-075-166_model_0_ligand,-6.29,0.61,0.2543,4.603
P4H6__Molport-047-079-591_model_0_ligand,-4.85,-0.58,0.3293,4.570
P4H6__Molport-047-144-551_model_0_ligand,-5.73,-0.09,0.4705,4.504
P4H6__Molport-046-953-938_model_0_ligand,-6.04,-0.79,0.5633,4.874
P4H6__Molport-047-010-725_model_0_ligand,-6.42,1.35,0.2635,5.595
P4H6__Molport-047-033-827_model_0_ligand,-5.40,0.05,0.2283,4.611
P4H6__Molport-047-235-206_model_0_ligand,-5.04,-0.28,0.6400,4.913
P4H6__Molport-046-068-247_model_0_ligand,-5.96,-0.25,0.4018,4.503
P4H6__Molport-047-142-994_model_0_ligand,-5.53,0.16,0.5356,5.797
P4H6__Molport-047-259-967_model_0_ligand,-5.45,-0.44,0.4346,4.291
P4H6__Molport-047-067-330_model_0_ligand,-5.52,-1.35,0.2308,4.052
P4H6__Molport-047-264-904_model_0_ligand,-4.76,0.46,0.4742,4.363
P4H6__Molport-047-283-934_model_0_ligand,-5.09,-0.37,0.3433,3.855
P4H6__Molport-047-067-008_model_0_ligand,-5.50,0.22,0.2038,4.434
P4H6__Molport-047-067-323_model_0_ligand,-5.51,-0.94,0.1322,4.024
P4H6__Molport-047-036-622_model_0_ligand,-6.10,-1.10,0.1521,4.476
P4H6__Molport-047-067-316_model_0_ligand,-5.76,-0.55,0.1249,3.798
P4H6__Molport-047-067-328_model_0_ligand,-6.20,-1.02,0.1477,4.535
P4H6__Molport-047-306-783_model_0_ligand,-4.36,-0.18,0.4404,3.248
P4H6__Molport-047-285-857_model_0_ligand,-4.89,-0.13,0.3187,4.239
P4H6__Molport-047-293-320_model_0_ligand,-4.54,-0.88,0.3601,4.722
P4H6__Molport-047-290-649_model_0_ligand,-4.69,-0.25,0.3673,4.096
P4H6__Molport-047-393-096_model_0_ligand,-4.80,0.05,0.2999,4.621
P4H6__Molport-047-396-915_model_0_ligand,-5.21,-0.41,0.3892,4.784
P4H6__Molport-047-483-893_model_0_ligand,-4.65,0.03,0.3176,4.199
P4H6__Molport-047-388-523_model_0_ligand,-5.32,-0.79,0.2854,4.443
P4H6__Molport-047-496-842_model_0_ligand,-5.51,-0.79,0.3449,3.975
P4H6__Molport-047-390-563_model_0_ligand,-5.83,-0.49,0.3236,4.127
P4H6__Molport-047-493-281_model_0_ligand,-5.83,-0.29,0.3875,4.135
P4H6__Molport-047-394-811_model_0_ligand,-4.74,0.67,0.3857,5.211
P4H6__Molport-047-390-439_model_0_ligand,-5.29,-0.98,0.3345,4.895
P4H6__Molport-047-502-061_model_0_ligand,-5.78,-0.48,0.2200,4.297
P4H6__Molport-047-489-114_model_0_ligand,-5.84,-0.55,0.1917,4.124
P4H6__Molport-047-527-874_model_0_ligand,-5.18,0.43,0.2662,4.153
P4H6__Molport-047-581-993_model_0_ligand,-4.72,-0.50,0.5888,3.044
P4H6__Molport-047-517-878_model_0_ligand,-5.07,-0.41,0.3576,4.131
P4H6__Molport-047-515-002_model_0_ligand,-5.11,-0.50,0.5430,4.766
P4H6__Molport-047-694-105_model_0_ligand,-4.60,0.23,0.3979,4.271
P4H6__Molport-047-708-637_model_0_ligand,-4.09,-0.24,0.2893,4.135
P4H6__Molport-047-695-652_model_0_ligand,-5.20,-0.30,0.5253,5.066
P4H6__Molport-047-730-485_model_0_ligand,-4.58,-0.74,0.2955,4.924
P4H6__Molport-047-661-128_model_0_ligand,-5.39,-0.65,0.2282,4.273
P4H6__Molport-047-516-736_model_0_ligand,-6.02,-0.47,0.1703,3.982
P4H6__Molport-047-733-668_model_0_ligand,-5.87,-0.31,0.3218,5.007
P4H6__Molport-047-733-906_model_0_ligand,-5.17,-0.68,0.4055,5.181
P4H6__Molport-047-676-774_model_0_ligand,-5.88,-0.86,0.2930,4.047
P4H6__Molport-047-921-794_model_0_ligand,-4.96,-0.51,0.5447,6.196
P4H6__Molport-047-795-802_model_0_ligand,-5.77,0.42,0.4541,4.438
P4H6__Molport-047-805-123_model_0_ligand,-5.16,-0.39,0.3010,3.981
P4H6__Molport-047-945-911_model_0_ligand,-5.28,-0.15,0.6351,3.924
P4H6__Molport-047-948-299_model_0_ligand,-5.46,0.36,0.8797,4.200
P4H6__Molport-047-934-455_model_0_ligand,-5.86,0.58,0.1924,4.609
P4H6__Molport-047-948-115_model_0_ligand,-5.59,0.32,0.8618,4.349
P4H6__Molport-047-934-464_model_0_ligand,-6.40,0.97,0.4844,4.675
P4H6__Molport-047-934-436_model_0_ligand,-5.65,-0.77,0.4293,5.315
P4H6__Molport-047-924-209_model_0_ligand,-4.72,-1.40,0.3788,4.304
P4H6__Molport-047-948-085_model_0_ligand,-5.77,0.51,0.8665,4.728
P4H6__Molport-051-448-117_model_0_ligand,-4.24,0.42,0.5797,3.923
P4H6__Molport-047-934-466_model_0_ligand,-5.96,0.13,0.3033,4.946
P4H6__Molport-049-202-385_model_0_ligand,-5.50,1.75,0.5979,5.768
P4H6__Molport-047-960-220_model_0_ligand,-5.64,-1.36,0.5740,5.378
P4H6__Molport-051-461-119_model_0_ligand,-4.71,-0.43,0.6423,4.100
P4H6__Molport-051-504-793_model_0_ligand,-4.70,1.18,0.2347,3.942
P4H6__Molport-051-452-045_model_0_ligand,-4.87,-0.53,0.2249,4.182
P4H6__Molport-051-473-283_model_0_ligand,-5.03,0.93,0.5828,4.181
P4H6__Molport-051-453-625_model_0_ligand,-5.01,-0.66,0.4677,4.980
P4H6__Molport-051-450-795_model_0_ligand,-5.53,0.66,0.4885,4.718
P4H6__Molport-051-466-456_model_0_ligand,-4.87,0.78,0.1695,4.717
P4H6__Molport-051-538-477_model_0_ligand,-5.69,0.44,0.1801,3.948
P4H6__Molport-051-531-550_model_0_ligand,-5.66,-0.70,0.4762,5.701
P4H6__Molport-051-541-655_model_0_ligand,-5.72,-0.45,0.3153,4.629
P4H6__Molport-051-529-367_model_0_ligand,-5.67,0.36,0.3785,4.882
P4H6__Molport-051-532-147_model_0_ligand,-5.37,0.02,0.2748,4.893
P4H6__Molport-051-627-338_model_0_ligand,-5.11,-0.74,0.2079,4.489
P4H6__Molport-051-625-825_model_0_ligand,-5.95,-1.04,0.1862,3.447
P4H6__Molport-051-630-070_model_0_ligand,-5.04,0.16,0.1913,3.962
P4H6__Molport-051-578-665_model_0_ligand,-5.21,-0.50,0.1666,4.844
P4H6__Molport-051-589-053_model_0_ligand,-6.25,2.36,0.6015,4.998
P4H6__Molport-051-702-679_model_0_ligand,-5.98,-0.63,0.4119,4.297
P4H6__Molport-051-630-852_model_0_ligand,-4.74,-0.68,0.4080,5.300
P4H6__Molport-051-651-967_model_0_ligand,-6.28,-0.16,0.3824,4.464
P4H6__Molport-051-627-088_model_0_ligand,-5.29,-0.80,0.2032,4.630
P4H6__Molport-051-700-905_model_0_ligand,-5.92,-0.73,0.3148,5.118
P4H6__Molport-051-637-802_model_0_ligand,-4.96,-1.14,0.1671,4.251
P4H6__Molport-051-705-944_model_0_ligand,-5.41,-0.45,0.1785,4.137
P4H6__Molport-051-709-128_model_0_ligand,-5.24,-0.48,0.1981,5.016
P4H6__Molport-051-702-810_model_0_ligand,-5.48,-0.68,0.2587,4.378
P4H6__Molport-051-714-331_model_0_ligand,-6.01,-0.80,0.2955,4.654
P4H6__Molport-051-715-872_model_0_ligand,-5.57,-0.38,0.4280,5.167
P4H6__Molport-051-707-178_model_0_ligand,-6.47,-0.78,0.3358,4.980
P4H6__Molport-051-710-617_model_0_ligand,-6.00,-0.94,0.4540,4.759
P4H6__Molport-051-709-443_model_0_ligand,-5.59,-0.95,0.1597,4.014
P4H6__Molport-051-712-683_model_0_ligand,-5.47,-0.87,0.2839,4.204
P4H6__Molport-051-716-012_model_0_ligand,-5.52,-0.68,0.2522,4.651
P4H6__Molport-051-730-731_model_0_ligand,-4.48,-0.48,0.1625,3.637
P4H6__Molport-051-717-099_model_0_ligand,-5.37,-0.67,0.4489,5.649
P4H6__Molport-051-747-493_model_0_ligand,-4.75,1.17,0.5399,3.860
P4H6__Molport-051-816-678_model_0_ligand,-4.67,-0.06,0.2741,3.827
P4H6__Molport-051-742-881_model_0_ligand,-6.37,-0.55,0.3742,4.901
P4H6__Molport-051-743-800_model_0_ligand,-6.63,-0.77,0.2057,5.027
P4H6__Molport-051-752-477_model_0_ligand,-5.75,-0.56,0.3616,5.019
P4H6__Molport-051-749-830_model_0_ligand,-6.42,3.61,0.2400,4.528
P4H6__Molport-051-751-604_model_0_ligand,-5.74,-0.02,0.3843,5.314
P4H6__Molport-051-753-443_model_0_ligand,-5.87,-0.05,0.4684,4.612
P4H6__Molport-051-835-143_model_0_ligand,-5.19,-0.54,0.5505,4.319
P4H6__Molport-051-743-489_model_0_ligand,-5.67,-0.60,0.1934,4.409
P4H6__Molport-051-841-549_model_0_ligand,-5.27,-0.12,0.3813,4.523
P4H6__Molport-051-717-313_model_0_ligand,-5.57,-0.74,0.4123,4.622
P4H6__Molport-051-748-937_model_0_ligand,-6.14,-0.62,0.2714,4.809
P4H6__Molport-051-754-244_model_0_ligand,-6.21,-0.67,0.3172,4.859
P4H6__Molport-051-912-406_model_0_ligand,-5.88,1.19,0.6440,3.866
P4H6__Molport-051-910-002_model_0_ligand,-5.04,-0.33,0.4290,3.922
P4H6__Molport-051-886-850_model_0_ligand,-6.02,-0.67,0.4616,4.708
P4H6__Molport-051-866-096_model_0_ligand,-5.37,0.02,0.1635,3.798
P4H6__Molport-051-938-203_model_0_ligand,-6.22,-0.69,0.5286,4.056
P4H6__Molport-051-869-505_model_0_ligand,-5.47,-0.93,0.6150,4.921
P4H6__Molport-051-868-764_model_0_ligand,-5.49,-1.27,0.3062,4.919
P4H6__Molport-051-919-177_model_0_ligand,-4.83,-1.25,0.2885,4.420
P4H6__Molport-051-915-260_model_0_ligand,-6.14,-0.64,0.3416,4.492
P4H6__Molport-051-917-173_model_0_ligand,-6.00,0.12,0.3874,4.647
