Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-027-855-476_model_0_ligand,-0.49,0.56,0.2194,5.481
P4H6__Molport-027-869-748_model_0_ligand,2.18,2.11,0.2892,4.554
P4H6__Molport-027-888-427_model_0_ligand,-1.28,-0.42,0.1964,4.300
P4H6__Molport-027-871-804_model_0_ligand,7.84,2.12,0.1790,5.011
P4H6__Molport-027-888-928_model_0_ligand,-5.48,0.27,0.2015,4.027
P4H6__Molport-027-871-996_model_0_ligand,-0.14,0.55,0.2193,4.991
P4H6__Molport-027-877-044_model_0_ligand,-3.97,-0.65,0.1271,4.923
P4H6__Molport-027-883-426_model_0_ligand,-1.44,-0.31,0.1824,5.172
P4H6__Molport-028-580-579_model_0_ligand,-5.29,0.49,0.1829,4.463
P4H6__Molport-028-578-840_model_0_ligand,4.90,0.09,0.2413,4.810
P4H6__Molport-028-588-135_model_0_ligand,-2.76,1.76,0.1047,4.439
P4H6__Molport-028-598-482_model_0_ligand,-4.15,1.71,0.5039,5.299
P4H6__Molport-028-589-431_model_0_ligand,-6.91,0.63,0.2600,5.546
P4H6__Molport-028-596-222_model_0_ligand,-2.04,2.73,0.1342,4.427
P4H6__Molport-028-596-723_model_0_ligand,-4.84,-0.12,0.2388,4.765
P4H6__Molport-028-724-169_model_0_ligand,4.83,0.35,0.2732,5.690
P4H6__Molport-028-604-807_model_0_ligand,-2.69,0.61,0.1489,4.845
P4H6__Molport-028-604-524_model_0_ligand,0.08,0.12,0.5484,5.968
P4H6__Molport-028-597-207_model_0_ligand,11.10,-0.67,0.3545,5.006
P4H6__Molport-028-606-048_model_0_ligand,40.25,-0.50,0.6979,4.997
P4H6__Molport-028-724-001_model_0_ligand,17.75,1.20,0.2399,5.190
P4H6__Molport-028-851-664_model_0_ligand,-6.31,-0.13,0.4733,5.500
P4H6__Molport-028-734-906_model_0_ligand,3.93,0.82,0.1952,5.304
P4H6__Molport-028-738-049_model_0_ligand,4.50,-0.41,0.3197,6.020
P4H6__Molport-028-607-607_model_0_ligand,-2.97,1.00,0.3266,5.284
P4H6__Molport-028-737-535_model_0_ligand,-6.93,-0.72,0.1213,4.872
P4H6__Molport-028-853-104_model_0_ligand,-8.33,1.40,0.3910,5.638
P4H6__Molport-028-853-258_model_0_ligand,-5.85,4.65,0.0764,4.100
P4H6__Molport-028-854-892_model_0_ligand,-6.45,7.12,0.2550,3.796
P4H6__Molport-028-854-811_model_0_ligand,-1.12,5.57,0.3346,4.263
P4H6__Molport-028-855-459_model_0_ligand,-4.80,3.43,0.0941,3.822
P4H6__Molport-028-855-796_model_0_ligand,-5.62,-0.20,0.3210,4.154
P4H6__Molport-028-855-173_model_0_ligand,4.01,1.80,0.1107,4.994
P4H6__Molport-028-855-055_model_0_ligand,-7.84,4.05,0.3886,3.222
P4H6__Molport-028-855-529_model_0_ligand,-6.74,6.82,0.2096,4.140
P4H6__Molport-028-855-905_model_0_ligand,-4.51,0.47,0.2434,4.549
P4H6__Molport-028-855-375_model_0_ligand,-6.48,1.63,0.1018,3.833
P4H6__Molport-028-855-382_model_0_ligand,-2.80,1.07,0.1325,4.198
P4H6__Molport-028-856-094_model_0_ligand,-5.59,0.40,0.1301,4.282
P4H6__Molport-028-855-766_model_0_ligand,-6.16,0.56,0.1191,4.103
P4H6__Molport-028-856-364_model_0_ligand,-6.40,1.72,0.2443,4.108
P4H6__Molport-028-855-587_model_0_ligand,-1.18,15.67,0.0978,4.617
P4H6__Molport-028-856-087_model_0_ligand,-7.43,2.80,0.2121,4.732
P4H6__Molport-029-901-654_model_0_ligand,-2.42,-0.36,0.3173,4.639
P4H6__Molport-028-856-522_model_0_ligand,-6.56,0.98,0.2015,4.358
P4H6__Molport-028-863-107_model_0_ligand,-5.23,0.96,0.4166,5.809
P4H6__Molport-029-883-776_model_0_ligand,-5.97,5.33,0.0955,3.746
P4H6__Molport-028-863-106_model_0_ligand,-7.00,0.30,0.3872,5.678
P4H6__Molport-028-856-188_model_0_ligand,-2.25,5.30,0.1097,3.753
P4H6__Molport-029-883-548_model_0_ligand,-6.79,1.33,0.2242,3.588
P4H6__Molport-030-041-973_model_0_ligand,-4.86,0.77,0.4249,5.248
P4H6__Molport-030-075-862_model_0_ligand,-9.36,-0.44,0.1280,3.525
P4H6__Molport-030-048-432_model_0_ligand,-8.20,-0.76,0.3885,4.823
P4H6__Molport-030-064-919_model_0_ligand,-5.30,2.69,0.5746,5.718
P4H6__Molport-030-058-067_model_0_ligand,-0.25,0.34,0.2262,4.556
P4H6__Molport-035-784-583_model_0_ligand,-6.82,0.57,0.6755,5.336
P4H6__Molport-030-075-932_model_0_ligand,-5.65,0.70,0.1618,4.423
P4H6__Molport-030-069-355_model_0_ligand,-7.93,0.22,0.4130,5.381
P4H6__Molport-029-884-504_model_0_ligand,-4.09,0.90,0.1337,5.083
P4H6__Molport-030-068-723_model_0_ligand,-6.02,-0.05,0.2285,4.919
P4H6__Molport-035-706-532_model_0_ligand,2.41,0.00,0.2075,3.707
P4H6__Molport-035-705-765_model_0_ligand,-7.51,-0.19,0.1544,3.674
P4H6__Molport-035-381-251_model_0_ligand,-2.34,-0.35,0.0850,4.120
P4H6__Molport-035-706-480_model_0_ligand,0.98,1.16,0.2707,4.208
P4H6__Molport-029-885-564_model_0_ligand,-3.73,-0.04,0.1855,5.199
P4H6__Molport-035-706-506_model_0_ligand,-8.07,-0.39,0.2258,4.013
P4H6__Molport-035-858-545_model_0_ligand,-7.88,-0.40,0.3459,5.089
P4H6__Molport-035-821-277_model_0_ligand,-5.29,-0.14,0.1217,4.607
P4H6__Molport-035-821-725_model_0_ligand,-1.26,-0.02,0.1313,3.709
P4H6__Molport-035-701-052_model_0_ligand,-7.51,3.71,0.2203,4.940
P4H6__Molport-035-704-098_model_0_ligand,-8.42,1.73,0.2516,4.812
P4H6__Molport-035-941-544_model_0_ligand,-6.57,-0.20,0.3708,3.718
P4H6__Molport-038-421-314_model_0_ligand,-5.91,-0.27,0.2334,5.214
P4H6__Molport-035-879-400_model_0_ligand,-4.28,-0.39,0.2728,4.848
P4H6__Molport-038-396-912_model_0_ligand,-4.04,0.69,0.3308,5.048
P4H6__Molport-038-942-141_model_0_ligand,-3.26,0.76,0.7114,4.446
P4H6__Molport-035-881-848_model_0_ligand,3.69,3.48,0.2868,4.144
P4H6__Molport-038-393-610_model_0_ligand,-6.48,-0.38,0.2806,5.247
P4H6__Molport-039-063-540_model_0_ligand,-5.79,-0.42,0.4315,3.939
P4H6__Molport-035-873-724_model_0_ligand,-0.06,0.08,0.1437,4.454
P4H6__Molport-039-052-281_model_0_ligand,5.87,1.56,0.2612,4.090
P4H6__Molport-038-393-987_model_0_ligand,-4.73,0.32,0.2089,5.256
P4H6__Molport-038-416-973_model_0_ligand,-6.78,-0.28,0.1380,4.237
P4H6__Molport-039-063-552_model_0_ligand,-4.94,0.90,0.4671,4.626
P4H6__Molport-038-422-514_model_0_ligand,-3.13,0.52,0.2293,5.677
P4H6__Molport-039-043-536_model_0_ligand,-6.69,0.51,0.5643,5.435
P4H6__Molport-038-425-751_model_0_ligand,-7.07,-0.40,0.2320,5.161
P4H6__Molport-039-040-315_model_0_ligand,-7.76,0.02,0.2332,4.946
P4H6__Molport-039-054-032_model_0_ligand,-5.89,-0.58,0.2154,3.656
P4H6__Molport-039-027-166_model_0_ligand,-3.46,-0.31,0.1284,3.892
P4H6__Molport-039-106-605_model_0_ligand,-5.39,-0.55,0.2671,4.808
P4H6__Molport-039-142-001_model_0_ligand,-2.19,0.84,0.3961,4.006
P4H6__Molport-039-074-631_model_0_ligand,-6.30,-0.52,0.1919,5.220
P4H6__Molport-039-049-068_model_0_ligand,-9.76,0.55,0.1829,5.153
P4H6__Molport-039-116-911_model_0_ligand,-6.73,-0.39,0.1929,4.046
P4H6__Molport-044-562-218_model_0_ligand,-5.03,0.00,0.4003,3.706
P4H6__Molport-039-106-661_model_0_ligand,-7.67,0.25,0.4034,5.754
P4H6__Molport-039-216-584_model_0_ligand,31.65,2.22,0.3627,4.531
P4H6__Molport-044-723-216_model_0_ligand,3.04,0.00,0.3595,4.741
P4H6__Molport-039-194-160_model_0_ligand,0.69,2.68,0.5327,5.993
P4H6__Molport-044-725-914_model_0_ligand,6.56,0.24,0.2074,5.154
P4H6__Molport-042-618-896_model_0_ligand,-6.25,1.32,0.1635,3.588
P4H6__Molport-044-683-986_model_0_ligand,-5.98,0.58,0.2080,4.488
P4H6__Molport-044-706-379_model_0_ligand,-7.52,-0.02,0.1694,4.611
P4H6__Molport-042-665-674_model_0_ligand,-7.02,-0.50,0.7185,4.447
P4H6__Molport-039-337-902_model_0_ligand,-5.08,-0.34,0.3376,4.311
P4H6__Molport-042-668-093_model_0_ligand,-7.53,-0.40,0.1475,4.476
P4H6__Molport-044-680-741_model_0_ligand,-6.41,0.04,0.1169,4.497
P4H6__Molport-045-919-233_model_0_ligand,27.41,-0.24,0.0618,5.175
P4H6__Molport-046-832-270_model_0_ligand,-5.99,-0.05,0.3369,3.859
P4H6__Molport-046-790-411_model_0_ligand,-3.52,-0.31,0.3877,4.001
P4H6__Molport-046-178-522_model_0_ligand,-4.22,0.49,0.2287,5.348
P4H6__Molport-046-508-982_model_0_ligand,3.10,2.86,0.2884,4.017
P4H6__Molport-044-754-013_model_0_ligand,-5.64,0.50,0.7597,5.877
P4H6__Molport-045-933-006_model_0_ligand,6.76,-0.58,0.0699,3.641
P4H6__Molport-046-607-570_model_0_ligand,1.47,0.85,0.1904,5.139
P4H6__Molport-046-068-247_model_0_ligand,3.20,4.19,0.2532,5.819
P4H6__Molport-046-980-684_model_0_ligand,-4.30,-0.22,0.1892,4.526
P4H6__Molport-046-845-426_model_0_ligand,-4.50,1.38,0.1600,4.373
P4H6__Molport-047-075-166_model_0_ligand,11.46,0.66,0.1002,4.219
P4H6__Molport-046-953-938_model_0_ligand,-3.93,0.30,0.1229,4.853
P4H6__Molport-047-259-967_model_0_ligand,1.69,-0.07,0.2525,4.215
P4H6__Molport-047-235-206_model_0_ligand,5.65,0.26,0.2676,4.474
P4H6__Molport-047-079-591_model_0_ligand,6.66,0.49,0.4282,5.067
P4H6__Molport-047-144-551_model_0_ligand,-7.53,0.47,0.3919,5.102
P4H6__Molport-047-152-586_model_0_ligand,-9.26,0.65,0.3170,3.591
P4H6__Molport-047-010-725_model_0_ligand,-3.31,-1.06,0.1668,5.872
P4H6__Molport-047-290-649_model_0_ligand,1.64,1.76,0.2498,4.705
P4H6__Molport-047-264-904_model_0_ligand,-8.21,-0.19,0.2206,4.017
P4H6__Molport-047-283-934_model_0_ligand,3.79,-0.21,0.1167,4.507
P4H6__Molport-047-067-330_model_0_ligand,-5.08,-0.19,0.1106,4.142
P4H6__Molport-047-033-827_model_0_ligand,-1.32,0.26,0.1866,5.504
P4H6__Molport-047-067-323_model_0_ligand,-3.67,0.87,0.0783,4.076
P4H6__Molport-047-067-008_model_0_ligand,-5.33,1.00,0.0861,4.555
P4H6__Molport-047-067-328_model_0_ligand,-3.40,1.02,0.2333,4.508
P4H6__Molport-047-285-857_model_0_ligand,7.78,1.87,0.1387,4.656
P4H6__Molport-047-067-316_model_0_ligand,-3.09,-1.11,0.1064,4.492
P4H6__Molport-047-142-994_model_0_ligand,-4.69,-0.36,0.2354,5.242
P4H6__Molport-047-306-783_model_0_ligand,-0.49,2.19,0.1563,4.155
P4H6__Molport-047-036-622_model_0_ligand,-3.61,0.05,0.1101,4.979
P4H6__Molport-047-293-320_model_0_ligand,15.86,0.65,0.3807,5.200
P4H6__Molport-047-483-893_model_0_ligand,-4.84,0.22,0.2877,4.586
P4H6__Molport-047-388-523_model_0_ligand,1.28,0.15,0.5037,6.137
P4H6__Molport-047-393-096_model_0_ligand,1.22,-0.67,0.2827,5.158
P4H6__Molport-047-581-993_model_0_ligand,-6.65,0.58,0.2922,3.360
P4H6__Molport-047-396-915_model_0_ligand,-2.11,0.52,0.2220,4.566
P4H6__Molport-047-390-563_model_0_ligand,-0.93,1.36,0.2680,5.072
P4H6__Molport-047-496-842_model_0_ligand,-1.08,-0.11,0.3410,5.217
P4H6__Molport-047-517-878_model_0_ligand,14.50,-0.35,0.3718,4.848
P4H6__Molport-047-390-439_model_0_ligand,-6.48,1.84,0.1739,5.011
P4H6__Molport-047-694-105_model_0_ligand,2.23,2.14,0.3023,5.209
P4H6__Molport-047-394-811_model_0_ligand,1.42,7.78,0.2570,4.050
P4H6__Molport-047-527-874_model_0_ligand,5.07,0.91,0.2257,4.997
P4H6__Molport-047-493-281_model_0_ligand,-4.63,1.19,0.2480,5.442
P4H6__Molport-047-661-128_model_0_ligand,2.89,-0.05,0.1139,4.136
P4H6__Molport-047-502-061_model_0_ligand,-5.62,0.52,0.1690,4.684
P4H6__Molport-047-489-114_model_0_ligand,-6.51,0.58,0.1895,5.615
P4H6__Molport-047-676-774_model_0_ligand,-5.76,-0.19,0.4397,5.558
P4H6__Molport-047-516-736_model_0_ligand,-5.87,2.17,0.1463,3.855
P4H6__Molport-047-695-652_model_0_ligand,-0.82,0.46,0.2066,5.004
P4H6__Molport-047-708-637_model_0_ligand,0.45,4.16,0.2300,4.541
P4H6__Molport-047-515-002_model_0_ligand,-6.51,1.36,0.2245,5.534
P4H6__Molport-047-730-485_model_0_ligand,-1.96,0.86,0.1886,5.713
P4H6__Molport-047-805-123_model_0_ligand,-5.16,1.73,0.1085,3.944
P4H6__Molport-047-733-906_model_0_ligand,-6.03,0.36,0.2843,5.078
P4H6__Molport-051-448-117_model_0_ligand,0.97,1.80,0.3361,4.768
P4H6__Molport-047-921-794_model_0_ligand,17.83,0.16,0.3284,5.465
P4H6__Molport-047-945-911_model_0_ligand,-5.48,0.03,0.2667,4.138
P4H6__Molport-047-948-115_model_0_ligand,-3.15,0.14,0.1544,4.023
P4H6__Molport-047-733-668_model_0_ligand,-1.82,0.33,0.2776,4.521
P4H6__Molport-047-948-085_model_0_ligand,-3.62,0.54,0.1547,3.964
P4H6__Molport-047-948-299_model_0_ligand,4.81,1.20,0.2094,4.486
P4H6__Molport-047-795-802_model_0_ligand,5.48,0.43,0.2040,5.508
P4H6__Molport-049-202-385_model_0_ligand,8.97,1.14,0.1746,4.608
P4H6__Molport-047-934-464_model_0_ligand,-3.03,0.69,0.3094,5.913
P4H6__Molport-047-934-436_model_0_ligand,-3.05,-0.43,0.2220,5.155
P4H6__Molport-051-452-045_model_0_ligand,8.08,1.32,0.2943,4.834
P4H6__Molport-047-934-455_model_0_ligand,-3.71,0.64,0.2761,5.699
P4H6__Molport-047-934-466_model_0_ligand,-4.48,-0.23,0.2795,5.648
P4H6__Molport-047-924-209_model_0_ligand,-5.15,-1.00,0.1843,3.845
P4H6__Molport-051-450-795_model_0_ligand,3.18,1.15,0.1631,5.079
P4H6__Molport-047-960-220_model_0_ligand,6.58,-1.35,0.1696,4.704
P4H6__Molport-051-453-625_model_0_ligand,0.43,0.35,0.2363,4.696
P4H6__Molport-051-461-119_model_0_ligand,-2.39,0.05,0.3708,5.082
P4H6__Molport-051-504-793_model_0_ligand,13.80,-0.03,0.1931,4.156
P4H6__Molport-051-538-477_model_0_ligand,40.08,0.62,0.0828,4.659
P4H6__Molport-051-532-147_model_0_ligand,-2.09,0.39,0.2834,5.584
P4H6__Molport-051-473-283_model_0_ligand,13.01,1.24,0.2444,5.061
P4H6__Molport-051-466-456_model_0_ligand,1.70,0.68,0.3202,5.031
P4H6__Molport-051-531-550_model_0_ligand,8.86,-0.17,0.1278,5.247
P4H6__Molport-051-541-655_model_0_ligand,-2.98,-0.64,0.5942,5.356
P4H6__Molport-051-529-367_model_0_ligand,-4.98,-0.14,0.1506,4.357
P4H6__Molport-051-627-338_model_0_ligand,8.64,4.83,0.2531,5.116
P4H6__Molport-051-625-825_model_0_ligand,-3.19,-0.37,0.1819,5.516
P4H6__Molport-051-630-852_model_0_ligand,-1.51,0.69,0.2308,5.562
P4H6__Molport-051-627-088_model_0_ligand,5.15,0.41,0.1837,5.228
P4H6__Molport-051-589-053_model_0_ligand,-4.32,1.21,0.3057,5.498
P4H6__Molport-051-651-967_model_0_ligand,-2.85,2.41,0.2325,5.011
P4H6__Molport-051-630-070_model_0_ligand,8.46,1.16,0.1658,4.337
P4H6__Molport-051-578-665_model_0_ligand,2.00,-0.33,0.3462,6.038
P4H6__Molport-051-637-802_model_0_ligand,2.24,1.27,0.1501,4.349
P4H6__Molport-051-700-905_model_0_ligand,-6.41,-0.33,0.3063,5.975
P4H6__Molport-051-702-810_model_0_ligand,6.65,-0.70,0.3771,5.112
P4H6__Molport-051-709-128_model_0_ligand,9.18,1.13,0.4232,4.953
P4H6__Molport-051-702-679_model_0_ligand,5.39,2.56,0.1667,4.812
P4H6__Molport-051-705-944_model_0_ligand,-4.83,-0.85,0.1594,5.630
P4H6__Molport-051-710-617_model_0_ligand,2.96,-0.89,0.1920,4.853
P4H6__Molport-051-712-683_model_0_ligand,-1.95,-0.61,0.1626,5.319
P4H6__Molport-051-714-331_model_0_ligand,-0.61,-1.00,0.2032,5.444
P4H6__Molport-051-742-881_model_0_ligand,4.75,2.06,0.1490,5.155
P4H6__Molport-051-717-313_model_0_ligand,-5.59,-0.07,0.2785,5.123
P4H6__Molport-051-707-178_model_0_ligand,-5.89,0.30,0.2034,5.914
P4H6__Molport-051-715-872_model_0_ligand,-6.09,0.75,0.1486,4.212
P4H6__Molport-051-709-443_model_0_ligand,6.29,-0.56,0.1744,4.446
P4H6__Molport-051-747-493_model_0_ligand,-4.19,-0.29,0.1736,3.592
P4H6__Molport-051-717-099_model_0_ligand,6.21,0.24,0.1067,4.397
P4H6__Molport-051-730-731_model_0_ligand,-7.30,1.18,0.0771,3.354
P4H6__Molport-051-716-012_model_0_ligand,-2.14,-0.68,0.1500,4.740
P4H6__Molport-051-743-489_model_0_ligand,-6.44,-0.67,0.0899,4.088
P4H6__Molport-051-751-604_model_0_ligand,18.58,4.06,0.1359,5.147
P4H6__Molport-051-743-800_model_0_ligand,-2.25,-0.79,0.1607,4.960
P4H6__Molport-051-749-830_model_0_ligand,-3.06,3.13,0.2129,5.402
P4H6__Molport-051-816-678_model_0_ligand,-6.65,-0.06,0.6677,5.143
P4H6__Molport-051-753-443_model_0_ligand,0.61,-0.01,0.1171,4.314
P4H6__Molport-051-748-937_model_0_ligand,-0.19,-0.58,0.3378,5.030
P4H6__Molport-051-754-244_model_0_ligand,-4.55,3.32,0.4647,6.209
P4H6__Molport-051-752-477_model_0_ligand,-0.12,2.20,0.1923,5.316
P4H6__Molport-051-912-406_model_0_ligand,8.32,1.93,0.3564,4.746
P4H6__Molport-051-835-143_model_0_ligand,-6.74,-0.35,0.5949,5.239
P4H6__Molport-051-910-002_model_0_ligand,-2.38,0.40,0.2057,4.292
P4H6__Molport-051-938-203_model_0_ligand,-4.79,-0.16,0.2723,3.783
P4H6__Molport-051-841-549_model_0_ligand,-0.09,-0.36,0.2709,5.454
P4H6__Molport-051-866-096_model_0_ligand,0.52,0.44,0.2534,5.637
P4H6__Molport-051-886-850_model_0_ligand,-6.32,0.79,0.5268,6.160
P4H6__Molport-051-869-505_model_0_ligand,-3.42,0.28,0.2139,4.674
P4H6__Molport-051-868-764_model_0_ligand,6.67,0.04,0.1705,5.298
P4H6__Molport-051-917-173_model_0_ligand,-1.51,1.45,0.1549,4.474
P4H6__Molport-051-915-260_model_0_ligand,-0.92,1.48,0.2416,5.474
P4H6__Molport-051-919-177_model_0_ligand,19.83,2.93,0.2687,5.142
