Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-001-769-861_model_0_ligand,-6.10,0.28,0.6527,3.926
P4H6__Molport-001-556-014_model_0_ligand,-5.45,1.42,0.5251,5.925
P4H6__Molport-001-646-451_model_0_ligand,-6.89,-0.02,0.1470,3.429
P4H6__Molport-001-795-858_model_0_ligand,0.15,0.32,0.3491,4.747
P4H6__Molport-001-739-419_model_0_ligand,-4.05,1.76,0.3611,4.473
P4H6__Molport-001-834-556_model_0_ligand,-6.43,0.25,0.2542,3.405
P4H6__Molport-001-829-447_model_0_ligand,-6.57,-0.28,0.6067,4.766
P4H6__Molport-001-848-639_model_0_ligand,-2.39,0.12,0.5315,5.217
P4H6__Molport-001-889-888_model_0_ligand,0.55,0.00,0.2782,4.048
P4H6__Molport-001-831-555_model_0_ligand,-6.44,-0.35,0.2528,3.128
P4H6__Molport-001-749-873_model_0_ligand,4.85,2.65,0.3044,5.273
P4H6__Molport-001-808-621_model_0_ligand,-6.38,1.70,0.2209,5.102
P4H6__Molport-001-917-465_model_0_ligand,-6.24,-0.14,0.5446,5.087
P4H6__Molport-001-962-125_model_0_ligand,-5.12,-0.15,0.3809,4.695
P4H6__Molport-002-004-800_model_0_ligand,-9.39,-0.35,0.4521,4.010
P4H6__Molport-001-839-746_model_0_ligand,-6.80,0.69,0.3157,3.850
P4H6__Molport-002-091-120_model_0_ligand,-7.16,0.13,0.2476,5.838
P4H6__Molport-001-914-433_model_0_ligand,-3.82,0.10,0.3865,6.221
P4H6__Molport-002-024-083_model_0_ligand,7.50,-0.49,0.5176,5.794
P4H6__Molport-002-112-180_model_0_ligand,-8.07,-0.33,0.2748,4.770
P4H6__Molport-002-117-106_model_0_ligand,-8.24,0.14,0.3099,3.315
P4H6__Molport-001-919-368_model_0_ligand,-9.36,-0.60,0.5342,6.061
P4H6__Molport-001-993-081_model_0_ligand,-2.42,0.64,0.2709,5.288
P4H6__Molport-002-133-580_model_0_ligand,-7.37,0.76,0.5341,6.150
P4H6__Molport-002-144-730_model_0_ligand,5.46,0.18,0.3340,3.936
P4H6__Molport-002-139-665_model_0_ligand,-7.57,0.20,0.5129,5.781
P4H6__Molport-002-139-668_model_0_ligand,-8.50,-0.05,0.5100,5.927
P4H6__Molport-002-139-673_model_0_ligand,-7.71,0.54,0.2032,4.703
