ligand_id,smiles,no_2og_binary,no_2og_pred_value,no_2og_ligand_iptm
P4H6__Molport-000-916-470,OC(=O)c1ccc(N\C=C2\N=C(OC2=O)c2ccco2)cc1,0.867814422,-0.875305653,0.978973627
P4H6__Molport-051-578-665,CCCCn1c(=O)n(CCCO)c2[nH]c(nc2c1=O)C12CC3CC1CC(C2)C3,0.867033958,-0.250716686,0.980240166
P4H6__Molport-001-993-081,FC(F)(F)c1cc(nc2cc(nn12)C(=O)NCCCN1CCOCC1)-c1ccco1,0.866780877,-1.38023901,0.962412715
P4H6__Molport-002-091-120,O=C(CNC(=O)C12CC3CC(CC(C3)C1)C2)NC1=NCCS1,0.866475344,-1.017303944,0.977591395
P4H6__Molport-000-824-945,Cc1nn2c(O)c(CCO)c(nc2c1-c1ccc(Cl)cc1)C(O)=O,0.86592114,-0.80270052,0.982497394
P4H6__Molport-051-630-070,COCCN1C(=O)N(CC(C)C)C2(CCN(CC2)C(=O)c2ncoc2C)C1=O,0.864304662,-0.673930168,0.946848452
P4H6__Molport-039-074-631,O=C(NCCn1ccc2ccoc2c1=O)c1ccc(cc1)N1CCOCC1,0.861795783,-0.3489995,0.966282487
P4H6__Molport-002-534-832,Cc1oc2c(c1C)c(C)cc1oc(=O)c(CC(=O)NCC(=O)NCC(O)=O)c(C)c21,0.860868573,-1.081617594,0.975075305
P4H6__Molport-027-866-305,Cc1ocnc1C(=O)N1CCC2(CC1)CCC(=O)N(CC=C)C2,0.858857036,0.626671314,0.946094155
P4H6__Molport-007-837-618,Cc1nn(c(C)c1CCC(=O)NCc1ccc2OCOc2c1)-c1ccc(nn1)N1CCOCC1,0.85838604,-0.745689392,0.959128797
P4H6__Molport-006-380-960,COc1ccc(cc1)C(N1CC2=CC3CC(C(O)=O)C2(O3)C1=O)c1nnnn1-c1ccc(OC)cc1,0.85821104,-1.43734169,0.973392308
P4H6__Molport-020-293-604,CNc1nc(nc2CN(Cc3cc4OCCOc4cc3OC)CCc12)C1CCCN1,0.85750556,-0.041938305,0.960822999
P4H6__Molport-002-520-769,Cc1c(CC(=O)NCC(=O)NCC(O)=O)c(=O)oc2cc3occ(-c4ccccc4)c3cc12,0.857064724,-1.357196331,0.963333011
P4H6__Molport-023-255-995,CCCCN1CCN(C(C(=O)N(C)C2CCN(C)CC2)c2ccccc2)C(=O)C1=O,0.856007934,-0.302312851,0.967276692
P4H6__Molport-002-572-666,OC(=O)c1ccc(\C=N/NC(=O)C2COc3ccccc3O2)cc1,0.8555305,-0.328807831,0.960889995
P4H6__Molport-002-720-461,COc1cccc(C2NC(Cc3ccccc3)(C3C2C(=O)N(C(C)C)C3=O)C(O)=O)c1O,0.854604363,-1.319268703,0.945079088
P4H6__Molport-035-858-545,FC(F)n1ccc(n1)C(=O)NCCC1COc2ccccc2O1,0.854476213,-0.308534622,0.96252501
P4H6__Molport-023-276-308,CCCCn1c(=O)n(CCCO)c2nc([nH]c2c1=O)C12CC3CC1CC(C2)C3,0.852585554,-0.258125067,0.983896434
P4H6__Molport-051-707-178,O=C(NC[C@@H]1[C@H]2CC[C@]3(CN(C[C@H]13)c1nc(no1)-c1ccccc1)O2)c1ccc[nH]1,0.852440357,-0.635354519,0.948491752
P4H6__Molport-023-316-305,O=C(N1CCCC2(CCC(=O)N(CCc3c[nH]cn3)C2)C1)c1ccc[nH]1,0.851865828,-0.093419313,0.9810009
P4H6__Molport-051-630-852,CCCc1cnc(nc1)N1CC[C@H](O)[C@@]2(CCCN(C2)C(=O)c2ccc[nH]2)C1,0.851495922,-0.60476613,0.949554265
